word,atom_id,embedding_score,a1_cosine,a1_margin,a1_l2,top2_atom,focus_rate
exit,ACT.leave,0.54,0.870934,0.044264,6.738247,ACT.move,0.3361
bring up,BEI.parent,0.4625,0.877511,0.043875,9.81832,EMO.love,0.4411
family,SOC.family,0.6165,0.88263,0.043648,9.724705,COM.cooperate,0.6662
dismantlement,ACT.destroy,0.4072,0.957095,0.04345,4.925768,CHG.decay,0.8801
ugliness,VAL.ugliness,0.6157,0.956946,0.043424,4.672104,PRP.dark,0.5121
falsity,VAL.falsehood,0.6076,0.941735,0.043403,4.32158,VAL.incorrect,0.3096
nigh,PRP.near,0.6043,0.88587,0.043164,5.255964,NAT.river,0.7084
sedate,ACT.calm,0.5498,0.950623,0.04276,6.672281,EMO.manifest,0.7119
let off,ABS.exempt,0.6488,0.947368,0.042396,6.106797,SOC.work,0.9272
transparentness,PRP.clear,0.7035,0.896073,0.041892,8.434666,FND.language,0.5539
commendation,SOC.praise,0.5182,0.965664,0.041462,8.066562,ABS.other,0.6956
psyche,EXS.spirit,0.4261,0.908912,0.041105,12.478779,FND.consciousness,0.3995
fabricate,VAL.falsehood,0.5174,0.853191,0.040859,6.37557,VAL.incorrect,0.324
state of war,STA.war,0.3824,0.840762,0.040476,13.268356,SOC.attack,0.445
extinction,EXS.death,0.4176,0.811976,0.040377,11.431399,ACT.destroy,0.5428
infinite,FND.numberless,0.5259,0.921112,0.040058,12.215341,FND.timeless,0.5172
form,FND.spatiality,0.4999,0.898584,0.039899,13.659182,PRP.long,0.4857
nation,SOC.nation,0.5428,0.894081,0.03988,10.05334,WLD.culture,0.6127
pity,EMO.compassion,0.6293,0.926806,0.03931,9.175187,EMO.happiness,0.5227
immunity,ABS.exempt,0.5635,0.93997,0.039302,8.252604,PRP.single,0.518
assault,SOC.attack,0.6168,0.940444,0.038695,9.886886,STA.poverty,0.4933
equal,REL.same,0.3641,0.81055,0.038658,7.740827,REL.together,0.5911
homo,BEI.human,0.39,0.912753,0.038603,6.027266,EXS.void,0.5983
return,ACT.give,0.334,0.892565,0.038532,5.065603,SOC.defend,0.3697
distant,PRP.far,0.5489,0.944176,0.038507,4.118314,PRP.old,0.4852
artist,WLD.art,0.6712,0.908401,0.038312,9.469968,FND.labor,0.6257
level,PRP.shallow,0.4561,0.892961,0.038069,7.327357,PRP.rough,0.8401
love,EMO.love,0.6214,0.932823,0.038029,9.826346,EMO.compassion,0.453
amateur,WLD.unskilled,0.6004,0.960164,0.037612,3.572188,COG.mindless,0.965
combat injury,STA.wound,0.4782,0.872207,0.037441,10.375528,STA.illness,0.6081
unreason,LOG.unreason,0.6916,0.910316,0.037217,4.820788,EMO.unhappiness,0.3996
earth,ELM.earth,0.5727,0.942443,0.03719,3.814919,NAT.sea,0.9345
remedy,STA.healing,0.4949,0.930638,0.037093,8.159788,ACT.stop,0.4972
rough-textured,PRP.rough,0.4761,0.933892,0.037059,6.253782,PRP.shallow,0.6533
notched,PRP.rough,0.423,0.915799,0.036763,8.881034,PRP.narrow,0.6767
hurt,STA.wound,0.6129,0.929967,0.036731,10.956129,STA.pain,0.4761
youthful,PRP.young,0.6094,0.935485,0.036686,9.035851,WLD.art,0.5557
piece,PRP.part,0.3263,0.798265,0.03668,13.478041,CHG.retreat,0.5414
coarse-grained,PRP.rough,0.431,0.901025,0.036667,6.478924,PRP.shallow,0.7491
offensive,VAL.ugliness,0.5781,0.968324,0.036499,4.212508,PRP.dark,0.7633
hip,BOD.hip,0.5988,0.950075,0.036471,5.472903,BOD.hand,0.5757
exempt,ABS.exempt,0.6488,0.93386,0.036407,12.418956,SOC.stateless,0.5805
uncultured,WLD.artless,0.4877,0.880156,0.036398,6.440093,STA.wound,0.4511
jeopardy,STA.danger,0.6252,0.944362,0.036308,4.255585,STA.poverty,0.4007
mute,FND.languageless,0.4052,0.8539,0.036138,5.691005,FND.body,0.3091
arise,ACT.stand,0.3711,0.889473,0.036098,10.707007,ACT.rise,0.5427
contour,FND.spatiality,0.4999,0.889762,0.036038,8.521208,PRP.part,0.4737
combine,REL.together,0.4699,0.880381,0.035846,7.171406,COM.cooperate,0.9148
kip,SOC.sleep,0.4769,0.965841,0.03582,3.998644,SOC.rest,0.5136
unnumerable,FND.numberless,0.4389,0.877263,0.0358,6.533974,FND.unchanging,0.7649
absent,EXS.nonbeing,0.4962,0.83187,0.035767,8.45307,VAL.sacred,0.7439
quarrel,COM.conflict,0.5507,0.882473,0.035489,6.304442,ECO.loss,0.4065
transparence,PRP.clear,0.7035,0.864988,0.035464,6.07588,PRP.short,0.544
spell,FND.language,0.3445,0.875158,0.035442,12.924074,FND.history,0.5681
inherent aptitude,COG.instinct,0.6612,0.900557,0.035291,5.902168,PRP.single,0.5858
query,COM.question,0.5949,0.935005,0.035184,5.852292,FND.language,0.5016
evil,VAL.evil,0.6114,0.946991,0.03477,8.179787,EMO.hate,0.5681
bravery,EMO.courage,0.5164,0.928367,0.034709,5.255577,COG.enlightenment,0.5501
set out,CHG.begin,0.494,0.847329,0.034573,12.037551,PRP.young,0.5839
award,EMO.respect,0.3862,0.936516,0.034557,4.229126,BEI.female,0.3696
pelvic girdle,BOD.hip,0.4657,0.937362,0.034366,7.792425,PRP.part,0.565
only,REL.alone,0.3781,0.958014,0.034345,7.464583,PRP.single,0.5828
external,WLD.outer_realm,0.3952,0.878738,0.034248,6.870226,ELM.sky,0.4187
precise,VAL.correct,0.5431,0.882197,0.034116,5.873942,PRP.clear,0.6071
laurels,EMO.respect,0.3862,0.890431,0.034083,6.936431,SOC.defend,0.494
root,BEI.root,0.6534,0.964464,0.03393,4.04753,BOD.hip,0.7024
confusedness,COG.confusion,0.4635,0.970721,0.033889,6.302094,COG.forget,0.8026
produce,ACT.create,0.3847,0.958628,0.033797,4.894026,ACT.make,0.7105
like,EMO.like,0.4342,0.896181,0.033724,7.005082,ABS.responsibility,0.8242
syndicate,SOC.family,0.3514,0.825377,0.033658,6.318218,SOC.nation,0.3457
organize,ACT.create,0.5568,0.728153,0.033451,10.578565,ACT.make,0.4579
same,REL.same,0.5392,0.890156,0.033236,5.601072,EMO.trust,0.6388
immature,PRP.young,0.5567,0.882484,0.03319,7.965686,COG.intention,0.6014
immorality,VAL.evil,0.5652,0.925475,0.032988,7.536592,EMO.despair,0.6273
cause,LOG.reason,0.5848,0.876564,0.032951,5.6333,LOG.effect,0.3075
alive,SOC.awake,0.4815,0.948281,0.032783,4.220472,SOC.rest,0.6383
ear,BOD.ear,0.6817,0.913822,0.032586,8.858896,BOD.hand,0.5645
single,PRP.single,0.4061,0.943594,0.032082,7.193933,PRP.easy,0.6404
paint,WLD.art,0.3704,0.948491,0.032013,11.036444,ACT.ascend,0.5324
energy,EXS.vitality,0.4402,0.87744,0.031885,5.580036,STA.healing,0.4341
beauty,VAL.beauty,0.624,0.92547,0.031845,6.909625,PRP.old,0.5461
stay,CHG.stay,0.3999,0.942653,0.031779,6.972179,PRP.high,0.4693
bitter,PER.bitter,0.7561,0.975689,0.031722,4.407026,PER.blind,0.6269
eventide,ELM.night,0.6517,0.883566,0.031681,6.051659,ELM.moon,0.6157
unholy,VAL.evil,0.5178,0.950308,0.031636,5.40694,EMO.hate,0.7801
linguistic communication,FND.language,0.5022,0.883972,0.031519,5.632751,FND.history,0.3637
verbalize,COM.speak,0.4837,0.899638,0.031502,12.817138,COG.think,0.6126
create,ACT.create,0.4097,0.885386,0.03136,16.462989,PRP.new,0.4349
violate,ACT.destroy,0.406,0.952605,0.031297,5.543282,CHG.decay,0.5952
living,EXS.life,0.6096,0.894225,0.031261,7.670101,FND.body,0.551
drive,ACT.create,0.443,0.915339,0.03122,7.593293,CHG.begin,0.6844
lull,ACT.calm,0.5366,0.91506,0.030929,5.44813,COM.teach,0.6945
disagreement,COM.conflict,0.6899,0.842941,0.03089,9.145605,STA.war,0.5921
feed,NAT.river,0.3848,0.785326,0.030771,13.697439,ELM.sun,0.4266
mirky,PRP.murky,0.3673,0.93818,0.030701,5.814175,ELM.darkness,0.6854
devotion,EMO.love,0.6273,0.95926,0.030662,6.906514,BEI.parent,0.3881
crumble,CHG.decay,0.6229,0.930049,0.030614,8.85757,ACT.dissolve,0.5681
grounds,LOG.reason,0.5582,0.889004,0.030554,9.87007,SOC.official,0.4808
display,EMO.manifest,0.5825,0.894369,0.030461,6.675073,ACT.leave,0.4352
improper,VAL.incorrect,0.5258,0.863645,0.030417,10.694479,VAL.falsehood,0.6499
drill,COG.learn,0.4793,0.766917,0.029832,10.451819,WLD.technique,0.5247
set off,CHG.begin,0.5979,0.904246,0.0298,8.428464,ACT.make,0.5026
obturate,SOC.obstruct,0.4288,0.889427,0.029553,5.781539,PRP.heavy,0.3991
make,ACT.create,0.4097,0.878849,0.029515,13.157856,PRP.new,0.4954
devotedness,EMO.love,0.6273,0.929857,0.029456,6.37685,BEI.parent,0.6195
dopey,ABS.foolish,0.4376,0.910217,0.029276,6.156833,WLD.uncultured,0.6452
anger,EMO.anger,0.7315,0.972262,0.029267,5.494305,SOC.criticize,0.6008
stable,FND.unchanging,0.5108,0.899624,0.029166,8.537957,FND.numberless,0.5727
sinful,VAL.evil,0.5178,0.944289,0.029146,8.030932,EMO.hate,0.5968
impureness,PRP.dirty,0.599,0.917346,0.029018,5.929374,PER.stench,0.5128
net,ECO.income,0.4879,0.911052,0.028945,5.888118,TIM.period,0.4916
take leave,ACT.leave,0.46,0.888633,0.028602,6.038173,WLD.artless,0.3636
bleeding,STA.wound,0.4041,0.933633,0.028584,9.82927,STA.pain,0.4266
elderly,PRP.aged,0.6643,0.919069,0.02847,4.865937,PRP.old,0.3323
clear,ABS.release,0.5251,0.899737,0.028448,5.954955,COM.teach,0.3481
construction,ACT.build,0.5096,0.794506,0.028187,12.067221,ACT.make,0.555
time,FND.time,0.528,0.766954,0.028162,12.600692,FND.numberless,0.4997
dirty,PRP.dirty,0.4945,0.908909,0.028022,6.364486,PER.stench,0.7895
cracking,CHG.decay,0.3558,0.859764,0.02792,8.451349,ACT.destroy,0.5184
lunar,ELM.moon,0.5791,0.901512,0.027899,12.639347,ELM.night,0.4517
muddiness,COG.confusion,0.4635,0.934475,0.027838,7.233681,EMO.anxiety,0.5634
pass,SOC.pass,0.3583,0.896733,0.027447,4.149633,CHG.advance,0.3114
ease,STA.comfort,0.5634,0.957172,0.027308,8.930375,PER.taste,0.5602
halt,ACT.stop,0.8744,0.908572,0.027271,8.868918,SPC.reverse,0.7989
near,TIM.come,0.4407,0.81666,0.027234,6.210994,STA.comfort,0.5063
apologia,EMO.apology,0.3303,0.97516,0.027062,4.216101,EMO.forgiveness,0.7205
abstract thought,FND.mind,0.5553,0.918441,0.026575,12.565779,COG.think,0.4862
spacious,PRP.wide,0.4855,0.887282,0.026573,5.27902,ELM.earth,0.9819
repose,SOC.rest,0.433,0.948118,0.026506,9.136266,ACT.lie_down,0.5873
familial,SOC.family,0.6683,0.913528,0.026487,11.754569,SOC.public,0.5019
lulu,VAL.beauty,0.4716,0.92982,0.026372,6.313747,PER.sweet,0.8437
iniquity,VAL.evil,0.5652,0.880828,0.026371,12.5107,EMO.hate,0.4212
unconditioned,COG.instinct,0.4658,0.916103,0.02637,9.517222,PRP.single,0.5426
prime,FND.number,0.4216,0.869588,0.02622,11.45822,FND.unchanging,0.4017
refuse,ECO.waste,0.6518,0.907653,0.026146,5.189024,ELM.water,0.9588
beaut,VAL.beauty,0.3973,0.909328,0.025933,8.63215,PRP.deep,0.5463
still,ACT.calm,0.5366,0.921482,0.025802,5.403124,EMO.manifest,0.3071
dark,ELM.night,0.7902,0.914142,0.025798,9.64864,ELM.moon,0.5342
near,PRP.near,0.6043,0.866106,0.025615,8.919862,NAT.river,0.749
come on,TIM.come,0.4407,0.806417,0.025332,9.493256,ACT.receive,0.515
raise,ACT.build,0.3984,0.91669,0.025242,5.129226,PRP.part,0.3365
thought,FND.mind,0.5971,0.9324,0.025213,10.591449,COG.enlightenment,0.4684
confuse,COG.confusion,0.3219,0.92353,0.025181,8.16353,LOG.unreason,0.5041
bank note,ECO.currency,0.5148,0.919698,0.025137,7.076286,SPC.place,0.7714
obligation,ABS.responsibility,0.4931,0.909704,0.025054,10.241107,EMO.trust,0.5606
dissolve,ACT.dissolve,0.5137,0.92133,0.024908,5.438092,CHG.decay,0.5664
mind,COG.intention,0.3969,0.944136,0.024817,5.762715,FND.mind,0.5551
observe,EXS.being,0.5872,0.861731,0.024588,11.666188,PRP.clear,0.461
ungodly,VAL.evil,0.494,0.94428,0.024394,6.006898,VAL.ugliness,0.7962
quiet,ACT.calm,0.5366,0.935301,0.024311,5.167725,SOC.awake,0.9183
stateless,SOC.stateless,0.7458,0.962961,0.024251,5.4156,SOC.refuse,0.6057
indifferent,PER.deaf,0.5202,0.954558,0.024197,5.024631,FND.unconscious,0.5658
excite,ACT.agitate,0.5961,0.895596,0.024181,6.398286,LOG.cause,0.3117
apology,EMO.apology,0.6622,0.976181,0.024116,8.136589,COM.teach,0.4554
instrument,ACT.create,0.4505,0.822456,0.02409,10.238935,ACT.make,0.5169
terminate,CHG.end,0.5228,0.733056,0.023863,8.219402,COG.enlightenment,0.6006
mind,FND.mind,0.5703,0.886024,0.023843,10.229311,COG.think,0.35
get,TIM.come,0.499,0.831993,0.023824,7.030287,MAT.food,0.6166
difference,COM.conflict,0.603,0.856681,0.023775,5.774374,EMO.hate,0.4128
doubt,EMO.doubt,0.5986,0.895662,0.023316,9.507432,EMO.patience,0.713
act,LOG.cause,0.5709,0.917947,0.023261,14.074373,LOG.effect,0.3888
invite,ACT.receive,0.4773,0.857409,0.023248,7.885742,SOC.praise,0.5361
early,PRP.young,0.658,0.857714,0.023204,10.217466,COG.intention,0.577
constant quantity,FND.unchanging,0.555,0.944251,0.022951,8.006562,FND.numberless,0.5346
payment,ECO.pay,0.5863,0.854991,0.022904,11.447099,ABS.responsibility,0.6249
shift,ACT.move,0.5684,0.876551,0.022732,5.578048,MAT.tool,0.7696
calm,ACT.calm,0.5892,0.954408,0.022672,6.818803,EMO.apology,0.4706
wrath,EMO.anger,0.4527,0.962412,0.022646,8.222045,EMO.hate,0.5449
banker's bill,ECO.currency,0.5148,0.783266,0.022443,8.330418,SPC.place,0.7806
take off,ACT.leave,0.4214,0.858569,0.022394,6.837823,SOC.pass,0.5273
construct,ACT.build,0.3005,0.86718,0.022376,14.857789,ACT.make,0.458
gentle wind,ELM.wind,0.5269,0.904105,0.022332,5.717784,ELM.water,0.8979
charge,ACT.agitate,0.5961,0.783918,0.022327,9.991636,FND.transformation,0.4619
penning,ACT.create,0.311,0.842809,0.022318,13.619271,PRP.new,0.5165
uninformed,FND.uninformed,0.6244,0.952085,0.022232,4.728049,COG.ignorance,0.8747
pick apart,SOC.criticize,0.5631,0.869962,0.022176,6.65468,COM.conflict,0.5649
uncultivated,WLD.uncultured,0.532,0.924836,0.022087,4.351426,ABS.foolish,0.3122
waste matter,ECO.waste,0.6224,0.929556,0.022074,6.990185,PRP.dark,0.7603
flavorless,PER.tasteless,0.5387,0.987042,0.022068,7.420213,PRP.weak,0.5841
decay,CHG.decay,0.6403,0.911183,0.021985,10.462148,ACT.destroy,0.4782
net income,ECO.income,0.4879,0.938538,0.021899,3.972855,VAL.correct,0.3409
tranquilize,ACT.calm,0.5498,0.925398,0.021865,7.614752,SOC.praise,0.7245
frail,PRP.weak,0.4096,0.907228,0.021863,7.496569,PER.blind,0.6747
causal agency,LOG.cause,0.6107,0.81268,0.021804,18.459541,SOC.official,0.3683
quieten,ACT.calm,0.5366,0.91243,0.021698,5.700533,ABS.release,0.5494
system of logic,FND.logic,0.6195,0.896135,0.021399,6.988334,SOC.official,0.4597
awaken,SOC.awake,0.4039,0.903329,0.021322,11.048406,PRP.young,0.6046
iniquitous,VAL.evil,0.494,0.935655,0.021275,6.451845,VAL.profane,0.6376
facial,BOD.face,0.6249,0.868941,0.021185,8.640812,STA.wealth,0.4966
liberate,ABS.release,0.6473,0.890765,0.021176,14.585913,BEI.human,0.4532
sugariness,PER.sweet,0.775,0.939115,0.02114,7.18712,PER.fragrance,0.6274
nous,FND.mind,0.5703,0.870134,0.021037,6.721518,FND.languageless,0.3146
